,forecast
2025-10-22 00:05:00,30388.97434234619
2025-10-22 00:10:00,39134.57238769531
2025-10-22 00:15:00,51328.49991607666
2025-10-22 00:20:00,67894.88801956175
2025-10-22 00:25:00,87307.1689300537
2025-10-22 00:30:00,103098.51209640501
2025-10-22 00:35:00,105560.2105026245
2025-10-22 00:40:00,92763.73348236083
2025-10-22 00:45:00,75473.85728836058
2025-10-22 00:50:00,66198.02471542357
2025-10-22 00:55:00,72990.49823760985
2025-10-22 01:00:00,98273.32148742674
2025-10-22 01:05:00,139681.5356559753
2025-10-22 01:10:00,208302.2883071899
2025-10-22 01:15:00,404463.08766365045
2025-10-22 01:20:00,1046490.8246459961
2025-10-22 01:25:00,1878064.8544769287
2025-10-22 01:30:00,2339483.7400207515
2025-10-22 01:35:00,2866108.8370819087
2025-10-22 01:40:00,4646131.191314696
2025-10-22 01:45:00,6626216.447967528
2025-10-22 01:50:00,7841078.515991211
2025-10-22 01:55:00,8672587.338256836
2025-10-22 02:00:00,9291554.696166992
2025-10-22 02:05:00,9817186.336791992
2025-10-22 02:10:00,10608828.742797852
2025-10-22 02:15:00,11330919.721740723
2025-10-22 02:20:00,11788610.945739746
2025-10-22 02:25:00,12133118.081848145
2025-10-22 02:30:00,12446310.243652344
2025-10-22 02:35:00,12808144.090332031
2025-10-22 02:40:00,13382156.585571289
2025-10-22 02:45:00,14487481.225463867
2025-10-22 02:50:00,15979219.128417969
2025-10-22 02:55:00,16836500.50756836
2025-10-22 03:00:00,17102287.446289062
2025-10-22 03:05:00,16923128.645263672
2025-10-22 03:10:00,16429237.069091797
2025-10-22 03:15:00,15886183.050048828
2025-10-22 03:20:00,15375912.416503906
2025-10-22 03:25:00,15016848.424743652
2025-10-22 03:30:00,14849413.4475708
2025-10-22 03:35:00,14767911.66241455
2025-10-22 03:40:00,14740160.766662598
2025-10-22 03:45:00,14737459.50378418
2025-10-22 03:50:00,14737365.640991211
2025-10-22 03:55:00,14737593.980285645
2025-10-22 04:00:00,14737850.297912598
2025-10-22 04:05:00,14738026.290649414
2025-10-22 04:10:00,14738092.175109863
2025-10-22 04:15:00,14738158.962097168
2025-10-22 04:20:00,14738243.799621582
2025-10-22 04:25:00,14738316.00177002
2025-10-22 04:30:00,14738370.153381348
2025-10-22 04:35:00,14738390.008972168
2025-10-22 04:40:00,14738378.276123047
2025-10-22 04:45:00,14738353.005371094
2025-10-22 04:50:00,14738348.492736816
2025-10-22 04:55:00,14738361.128112793
2025-10-22 05:00:00,14738359.323059082
2025-10-22 05:05:00,14738347.590209961
2025-10-22 05:10:00,14738333.149780273
2025-10-22 05:15:00,14738320.514404297
2025-10-22 05:20:00,14738321.416931152
2025-10-22 05:25:00,14738323.221984863
2025-10-22 05:30:00,14738326.832092285
2025-10-22 05:35:00,14738328.637145996
2025-10-22 05:40:00,14738328.637145996
2025-10-22 05:45:00,14738328.637145996
2025-10-22 05:50:00,14738328.637145996
2025-10-22 05:55:00,14738328.637145996
2025-10-22 06:00:00,14738328.637145996
2025-10-22 06:05:00,14738328.637145996
2025-10-22 06:10:00,14738328.637145996
2025-10-22 06:15:00,14738328.637145996
2025-10-22 06:20:00,14738328.637145996
2025-10-22 06:25:00,14738328.637145996
2025-10-22 06:30:00,14738328.637145996
2025-10-22 06:35:00,14738328.637145996
2025-10-22 06:40:00,14738328.637145996
2025-10-22 06:45:00,14738328.637145996
2025-10-22 06:50:00,14738327.73461914
2025-10-22 06:55:00,14738328.637145996
2025-10-22 07:00:00,14738328.637145996
2025-10-22 07:05:00,14738328.637145996
2025-10-22 07:10:00,14738328.637145996
2025-10-22 07:15:00,14738328.637145996
2025-10-22 07:20:00,14738327.73461914
2025-10-22 07:25:00,14738328.637145996
2025-10-22 07:30:00,14738328.637145996
2025-10-22 07:35:00,14738328.637145996
2025-10-22 07:40:00,14738328.637145996
2025-10-22 07:45:00,14738328.637145996
2025-10-22 07:50:00,14738328.637145996
2025-10-22 07:55:00,14738328.637145996
2025-10-22 08:00:00,14738328.637145996
2025-10-22 08:05:00,14738328.637145996
2025-10-22 08:10:00,14738328.637145996
2025-10-22 08:15:00,14738328.637145996
2025-10-22 08:20:00,14738328.637145996
2025-10-22 08:25:00,14738328.637145996
2025-10-22 08:30:00,14738328.637145996
2025-10-22 08:35:00,14738328.637145996
2025-10-22 08:40:00,14738328.637145996
2025-10-22 08:45:00,14738328.637145996
2025-10-22 08:50:00,14738328.637145996
2025-10-22 08:55:00,14738328.637145996
2025-10-22 09:00:00,14738328.637145996
2025-10-22 09:05:00,14738328.637145996
2025-10-22 09:10:00,14738328.637145996
2025-10-22 09:15:00,14738328.637145996
2025-10-22 09:20:00,14738327.73461914
2025-10-22 09:25:00,14738328.637145996
2025-10-22 09:30:00,14738328.637145996
2025-10-22 09:35:00,14738328.637145996
2025-10-22 09:40:00,14738328.637145996
2025-10-22 09:45:00,14738328.637145996
2025-10-22 09:50:00,14738328.637145996
2025-10-22 09:55:00,14738328.637145996
2025-10-22 10:00:00,14738328.637145996
2025-10-22 10:05:00,14738328.637145996
2025-10-22 10:10:00,14738328.637145996
2025-10-22 10:15:00,14738328.637145996
2025-10-22 10:20:00,14738328.637145996
2025-10-22 10:25:00,14738328.637145996
2025-10-22 10:30:00,14738328.637145996
2025-10-22 10:35:00,14738328.637145996
2025-10-22 10:40:00,14738328.637145996
2025-10-22 10:45:00,14738328.637145996
2025-10-22 10:50:00,14738328.637145996
2025-10-22 10:55:00,14738328.637145996
2025-10-22 11:00:00,14738328.637145996
2025-10-22 11:05:00,14738328.637145996
2025-10-22 11:10:00,14738328.637145996
2025-10-22 11:15:00,14738328.637145996
2025-10-22 11:20:00,14738327.73461914
2025-10-22 11:25:00,14738328.637145996
2025-10-22 11:30:00,14738328.637145996
2025-10-22 11:35:00,14738328.637145996
2025-10-22 11:40:00,14738328.637145996
2025-10-22 11:45:00,14738328.637145996
2025-10-22 11:50:00,14738328.637145996
2025-10-22 11:55:00,14738328.637145996
2025-10-22 12:00:00,14738328.637145996
2025-10-22 12:05:00,14738328.637145996
2025-10-22 12:10:00,14738328.637145996
2025-10-22 12:15:00,14738328.637145996
2025-10-22 12:20:00,14738328.637145996
2025-10-22 12:25:00,14738328.637145996
2025-10-22 12:30:00,14738328.637145996
2025-10-22 12:35:00,14738328.637145996
2025-10-22 12:40:00,14738328.637145996
2025-10-22 12:45:00,14738328.637145996
2025-10-22 12:50:00,14738328.637145996
2025-10-22 12:55:00,14738328.637145996
2025-10-22 13:00:00,14738328.637145996
2025-10-22 13:05:00,14738328.637145996
2025-10-22 13:10:00,14738328.637145996
2025-10-22 13:15:00,14738328.637145996
2025-10-22 13:20:00,14738327.73461914
2025-10-22 13:25:00,14738328.637145996
2025-10-22 13:30:00,14738328.637145996
2025-10-22 13:35:00,14738328.637145996
2025-10-22 13:40:00,14738328.637145996
2025-10-22 13:45:00,14738328.637145996
2025-10-22 13:50:00,14738328.637145996
2025-10-22 13:55:00,14738328.637145996
2025-10-22 14:00:00,14738328.637145996
2025-10-22 14:05:00,14738328.637145996
2025-10-22 14:10:00,14738328.637145996
2025-10-22 14:15:00,14738328.637145996
2025-10-22 14:20:00,14738328.637145996
2025-10-22 14:25:00,14738328.637145996
2025-10-22 14:30:00,14738328.637145996
2025-10-22 14:35:00,14738328.637145996
2025-10-22 14:40:00,14738328.637145996
2025-10-22 14:45:00,14738328.637145996
2025-10-22 14:50:00,14738328.637145996
2025-10-22 14:55:00,14738328.637145996
2025-10-22 15:00:00,14738328.637145996
2025-10-22 15:05:00,14738328.637145996
2025-10-22 15:10:00,14738328.637145996
2025-10-22 15:15:00,14738328.637145996
2025-10-22 15:20:00,14738327.73461914
2025-10-22 15:25:00,14738328.637145996
2025-10-22 15:30:00,14738328.637145996
2025-10-22 15:35:00,14738328.637145996
2025-10-22 15:40:00,14738328.637145996
2025-10-22 15:45:00,14738328.637145996
2025-10-22 15:50:00,14738328.637145996
2025-10-22 15:55:00,14738328.637145996
2025-10-22 16:00:00,14738328.637145996
2025-10-22 16:05:00,14738328.637145996
2025-10-22 16:10:00,14738328.637145996
2025-10-22 16:15:00,14738328.637145996
2025-10-22 16:20:00,14738328.637145996
2025-10-22 16:25:00,14738328.637145996
2025-10-22 16:30:00,14738328.637145996
2025-10-22 16:35:00,14738328.637145996
2025-10-22 16:40:00,14738328.637145996
2025-10-22 16:45:00,14738328.637145996
2025-10-22 16:50:00,14738328.637145996
2025-10-22 16:55:00,14738328.637145996
2025-10-22 17:00:00,14738328.637145996
2025-10-22 17:05:00,14738328.637145996
2025-10-22 17:10:00,14738328.637145996
2025-10-22 17:15:00,14738328.637145996
2025-10-22 17:20:00,14738327.73461914
2025-10-22 17:25:00,14738328.637145996
2025-10-22 17:30:00,14738328.637145996
2025-10-22 17:35:00,14738328.637145996
2025-10-22 17:40:00,14738328.637145996
2025-10-22 17:45:00,14738328.637145996
2025-10-22 17:50:00,14738328.637145996
2025-10-22 17:55:00,14738328.637145996
2025-10-22 18:00:00,14738328.637145996
2025-10-22 18:05:00,14738328.637145996
2025-10-22 18:10:00,14738328.637145996
2025-10-22 18:15:00,14738328.637145996
2025-10-22 18:20:00,14738328.637145996
2025-10-22 18:25:00,14738328.637145996
2025-10-22 18:30:00,14738328.637145996
2025-10-22 18:35:00,14738328.637145996
2025-10-22 18:40:00,14738328.637145996
2025-10-22 18:45:00,14738328.637145996
2025-10-22 18:50:00,14738328.637145996
2025-10-22 18:55:00,14738328.637145996
2025-10-22 19:00:00,14738328.637145996
2025-10-22 19:05:00,14738328.637145996
2025-10-22 19:10:00,14738328.637145996
2025-10-22 19:15:00,14738328.637145996
2025-10-22 19:20:00,14738327.73461914
2025-10-22 19:25:00,14738328.637145996
2025-10-22 19:30:00,14738328.637145996
2025-10-22 19:35:00,14738328.637145996
2025-10-22 19:40:00,14738328.637145996
2025-10-22 19:45:00,14738328.637145996
2025-10-22 19:50:00,14738328.637145996
2025-10-22 19:55:00,14738328.637145996
2025-10-22 20:00:00,14738328.637145996
2025-10-22 20:05:00,14738328.637145996
2025-10-22 20:10:00,14738328.637145996
2025-10-22 20:15:00,14738328.637145996
2025-10-22 20:20:00,14738328.637145996
2025-10-22 20:25:00,14738328.637145996
2025-10-22 20:30:00,14738328.637145996
2025-10-22 20:35:00,14738328.637145996
2025-10-22 20:40:00,14738328.637145996
2025-10-22 20:45:00,14738328.637145996
2025-10-22 20:50:00,14738328.637145996
2025-10-22 20:55:00,14738328.637145996
2025-10-22 21:00:00,14738328.637145996
2025-10-22 21:05:00,14738328.637145996
2025-10-22 21:10:00,14738328.637145996
2025-10-22 21:15:00,14738328.637145996
2025-10-22 21:20:00,14738327.73461914
2025-10-22 21:25:00,14738328.637145996
2025-10-22 21:30:00,14738328.637145996
2025-10-22 21:35:00,14738328.637145996
2025-10-22 21:40:00,14738328.637145996
2025-10-22 21:45:00,14738328.637145996
2025-10-22 21:50:00,14738328.637145996
2025-10-22 21:55:00,14738328.637145996
2025-10-22 22:00:00,14738328.637145996
2025-10-22 22:05:00,14738328.637145996
2025-10-22 22:10:00,14738328.637145996
2025-10-22 22:15:00,14738328.637145996
2025-10-22 22:20:00,14738328.637145996
2025-10-22 22:25:00,14738328.637145996
2025-10-22 22:30:00,14738328.637145996
2025-10-22 22:35:00,14738328.637145996
2025-10-22 22:40:00,14738328.637145996
2025-10-22 22:45:00,14738328.637145996
2025-10-22 22:50:00,14738328.637145996
2025-10-22 22:55:00,14738328.637145996
2025-10-22 23:00:00,14738328.637145996
2025-10-22 23:05:00,14738328.637145996
2025-10-22 23:10:00,14738328.637145996
2025-10-22 23:15:00,14738328.637145996
2025-10-22 23:20:00,14738327.73461914
2025-10-22 23:25:00,14738328.637145996
2025-10-22 23:30:00,14738328.637145996
2025-10-22 23:35:00,14738328.637145996
2025-10-22 23:40:00,14738328.637145996
2025-10-22 23:45:00,14738328.637145996
2025-10-22 23:50:00,14738328.637145996
2025-10-22 23:55:00,14738328.637145996
2025-10-23 00:00:00,14738328.637145996
