,forecast
2025-10-22 00:05:00,23594.091584652662
2025-10-22 00:10:00,23478.77438864112
2025-10-22 00:15:00,23373.098541527987
2025-10-22 00:20:00,23286.04965004325
2025-10-22 00:25:00,23214.063878893852
2025-10-22 00:30:00,23155.212341338396
2025-10-22 00:35:00,23117.5878123641
2025-10-22 00:40:00,23094.64388746023
2025-10-22 00:45:00,23087.1614638865
2025-10-22 00:50:00,23092.865715652704
2025-10-22 00:55:00,23108.064126878977
2025-10-22 01:00:00,23130.17956033349
2025-10-22 01:05:00,23162.91819319129
2025-10-22 01:10:00,23198.84299263358
2025-10-22 01:15:00,23233.830891638994
2025-10-22 01:20:00,23271.16016036272
2025-10-22 01:25:00,23305.37861996889
2025-10-22 01:30:00,23335.0778349936
2025-10-22 01:35:00,23363.091422468424
2025-10-22 01:40:00,23386.04944935441
2025-10-22 01:45:00,23406.033280074596
2025-10-22 01:50:00,23425.556592941284
2025-10-22 01:55:00,23444.397722423077
2025-10-22 02:00:00,23460.00817593932
2025-10-22 02:05:00,23476.944656461477
2025-10-22 02:10:00,23494.227076232433
2025-10-22 02:15:00,23510.25353822112
2025-10-22 02:20:00,23525.045195400715
2025-10-22 02:25:00,23538.675201803446
2025-10-22 02:30:00,23551.29911991954
2025-10-22 02:35:00,23563.110411316156
2025-10-22 02:40:00,23574.23158696294
2025-10-22 02:45:00,23584.79485294223
2025-10-22 02:50:00,23594.88570252061
2025-10-22 02:55:00,23604.554814696312
2025-10-22 03:00:00,23613.8339189291
2025-10-22 03:05:00,23622.73667651415
2025-10-22 03:10:00,23631.220781505108
2025-10-22 03:15:00,23639.278301537037
2025-10-22 03:20:00,23646.919372409582
2025-10-22 03:25:00,23654.12724801898
2025-10-22 03:30:00,23660.927047520876
2025-10-22 03:35:00,23667.352703809738
2025-10-22 03:40:00,23673.423607110977
2025-10-22 03:45:00,23679.182504057884
2025-10-22 03:50:00,23684.659361362457
2025-10-22 03:55:00,23689.8638741374
2025-10-22 04:00:00,23694.805737495422
2025-10-22 04:05:00,23699.51139265299
2025-10-22 04:10:00,23703.975551366806
2025-10-22 04:15:00,23708.198654323816
2025-10-22 04:20:00,23712.19215938449
2025-10-22 04:25:00,23715.97016853094
2025-10-22 04:30:00,23719.545461684465
2025-10-22 04:35:00,23722.931700140238
2025-10-22 04:40:00,23726.14166381955
2025-10-22 04:45:00,23729.18416646123
2025-10-22 04:50:00,23732.069343864918
2025-10-22 04:55:00,23734.805128395557
2025-10-22 05:00:00,23737.399011731148
2025-10-22 05:05:00,23739.857163488865
2025-10-22 05:10:00,23742.186193972826
2025-10-22 05:15:00,23744.391391426325
2025-10-22 05:20:00,23746.48024752736
2025-10-22 05:25:00,23748.458050519228
2025-10-22 05:30:00,23750.331410706043
2025-10-22 05:35:00,23752.10517564416
2025-10-22 05:40:00,23753.786396324635
2025-10-22 05:45:00,23755.37947961688
2025-10-22 05:50:00,23756.888391703367
2025-10-22 05:55:00,23758.31842082739
2025-10-22 06:00:00,23759.672651797533
2025-10-22 06:05:00,23760.955932170153
2025-10-22 06:10:00,23762.171346753836
2025-10-22 06:15:00,23763.32198035717
2025-10-22 06:20:00,23764.412239849567
2025-10-22 06:25:00,23765.444769352674
2025-10-22 06:30:00,23766.42221298814
2025-10-22 06:35:00,23767.34853693843
2025-10-22 06:40:00,23768.22550395131
2025-10-22 06:45:00,23769.056639522314
2025-10-22 06:50:00,23769.844147086143
2025-10-22 06:55:00,23770.589348703623
2025-10-22 07:00:00,23771.29532918334
2025-10-22 07:05:00,23771.96429196
2025-10-22 07:10:00,23772.59755909443
2025-10-22 07:15:00,23773.19689333439
2025-10-22 07:20:00,23773.76582017541
2025-10-22 07:25:00,23774.303017556667
2025-10-22 07:30:00,23774.812892347574
