fecha,real,prediccion,residuos,res_smooth,umbral_MW,anomalia
2025-10-15 13:15:00,27986.0,27681.124783933163,304.8752160668373,304.8752160668373,167.916,1
2025-10-15 13:20:00,28049.0,27714.004687845707,334.99531215429306,334.99531215429306,168.294,1
2025-10-15 13:25:00,28050.0,27744.057567298412,305.9424327015877,305.9424327015877,168.3,1
2025-10-15 13:30:00,27935.0,27768.621715784073,166.37828421592712,166.37828421592712,167.61,0
2025-10-15 13:35:00,27522.0,27781.303089737892,-259.30308973789215,-259.30308973789215,165.132,1
2025-10-15 13:40:00,27710.0,27767.460991322994,-57.46099132299423,-57.46099132299423,166.26,0
2025-10-15 13:45:00,27727.0,27745.677508294582,-18.677508294582367,-18.677508294582367,166.362,0
2025-10-15 13:50:00,27457.0,27720.57017225027,-263.57017225027084,-263.57017225027084,164.742,1
2025-10-15 13:55:00,27567.0,27683.124343931675,-116.12434393167496,-116.12434393167496,165.40200000000002,0
2025-10-15 14:00:00,27579.0,27645.992532253265,-66.99253225326538,-66.99253225326538,165.474,0
2025-10-15 14:05:00,27517.0,27604.921080052853,-87.92108005285263,-87.92108005285263,1235.7437295799057,0
2025-10-15 14:10:00,27661.0,27561.622646331787,99.37735366821289,99.37735366821289,1188.6593641257473,0
2025-10-15 14:15:00,27899.0,27526.51138740778,372.4886125922203,372.4886125922203,1139.7060165659261,0
2025-10-15 14:20:00,27790.0,27504.08937472105,285.91062527894974,285.91062527894974,1206.1196145141282,0
2025-10-15 14:25:00,27917.0,27486.120450377464,430.8795496225357,430.8795496225357,1205.549560168041,0
2025-10-15 14:30:00,27676.0,27476.766428232193,199.233571767807,199.233571767807,1264.6569663965913,0
2025-10-15 14:35:00,27729.0,27462.385515749454,266.6144842505455,266.6144842505455,1229.7483012735195,0
2025-10-15 14:40:00,27697.0,27448.129685103893,248.87031489610672,248.87031489610672,1209.9838357697515,0
2025-10-15 14:45:00,27412.0,27433.097997188568,-21.097997188568115,-21.097997188568115,1186.7241201330112,0
2025-10-15 14:50:00,27493.0,27405.43741720915,87.5625827908516,87.5625827908516,1166.2407106949017,0
2025-10-15 14:55:00,27237.0,27375.095012664795,-138.09501266479492,-138.09501266479492,1135.5108668957319,0
2025-10-15 15:00:00,26883.0,27334.465283036232,-451.465283036232,-451.465283036232,1144.696694285714,0
2025-10-15 15:05:00,27154.0,27270.785507440567,-116.78550744056702,-116.78550744056702,1283.365630862447,0
2025-10-15 15:10:00,27107.0,27208.234967172146,-101.23496717214584,-101.23496717214584,1271.981748537024,0
2025-10-15 15:15:00,26869.0,27149.349412202835,-280.3494122028351,-280.3494122028351,1257.4464109138805,0
2025-10-15 15:20:00,26870.0,27073.77111750841,-203.7711175084114,-203.7711175084114,1283.9391336010592,0
2025-10-15 15:25:00,26968.0,26995.039535939693,-27.03953593969345,-27.03953593969345,1285.1343546893013,0
2025-10-15 15:30:00,26908.0,26926.611898720264,-18.611898720264435,-18.611898720264435,1261.8381314676717,0
2025-10-15 15:35:00,27059.0,26870.088028788567,188.9119712114334,188.9119712114334,1239.3674746707252,0
2025-10-15 15:40:00,27061.0,26834.786960363388,226.21303963661194,226.21303963661194,1227.2067122531269,0
2025-10-15 15:45:00,27021.0,26817.19590562582,203.80409437417984,203.80409437417984,1220.1776752558321,0
2025-10-15 15:50:00,26889.0,26813.048086941242,75.95191305875778,75.95191305875778,1209.7104126673105,0
2025-10-15 15:55:00,26991.0,26815.056393921375,175.94360607862473,175.94360607862473,1190.332685233958,0
2025-10-15 16:00:00,26918.0,26825.99361974001,92.00638025999069,92.00638025999069,1177.6101532768905,0
2025-10-15 16:05:00,27115.0,26842.86654728651,272.13345271348953,272.13345271348953,1160.1928518653838,0
2025-10-15 16:10:00,27139.0,26871.156909942627,267.84309005737305,267.84309005737305,1160.1162582129477,0
2025-10-15 16:15:00,27098.0,26905.7660921216,192.2339078783989,192.2339078783989,1158.5014019377534,0
2025-10-15 16:20:00,27279.0,26947.123570621014,331.87642937898636,331.87642937898636,1143.5746114885496,0
2025-10-15 16:25:00,27178.0,26999.505744755268,178.4942552447319,178.4942552447319,1142.962991981889,0
2025-10-15 16:30:00,27330.0,27051.257261514664,278.7427384853363,278.7427384853363,1126.0996675246117,0
2025-10-15 16:35:00,27425.0,27116.294568657875,308.70543134212494,308.70543134212494,1139.3920476397423,0
2025-10-15 16:40:00,27326.0,27189.101819574833,136.89818042516708,136.89818042516708,1120.4000859447215,0
2025-10-15 16:45:00,27612.0,27257.30553406477,354.69446593523026,354.69446593523026,1114.467330082991,0
2025-10-15 16:50:00,27594.0,27337.73752886057,256.262471139431,256.262471139431,1136.2520355238134,0
2025-10-15 16:55:00,27763.0,27418.27186334133,344.7281366586685,344.7281366586685,839.2081018273573,0
2025-10-15 17:00:00,27647.0,27500.169852256775,146.8301477432251,146.8301477432251,838.1829612872419,0
2025-10-15 17:05:00,27797.0,27584.158369779587,212.8416302204132,212.8416302204132,791.8316313725853,0
2025-10-15 17:10:00,28005.0,27668.973477065563,336.0265229344368,336.0265229344368,774.0914038647242,0
2025-10-15 17:15:00,27962.0,27755.71991789341,206.28008210659027,206.28008210659027,1080.3556490878614,0
2025-10-15 17:20:00,28028.0,27837.450839459896,190.5491605401039,190.5491605401039,774.0914038647242,0
2025-10-15 17:25:00,28184.0,27910.775036990643,273.22496300935745,273.22496300935745,745.4762513172948,0
2025-10-15 17:30:00,28193.0,27977.233728647232,215.76627135276794,215.76627135276794,675.4074420468816,0
