value,datetime,datetime_utc,tz_time,geo_id,geo_name
20995.0,2025-09-21T04:15:00.000+02:00,2025-09-21T02:15:00Z,2025-09-21T02:15:00.000Z,8741,Península
21092.0,2025-09-21T04:20:00.000+02:00,2025-09-21T02:20:00Z,2025-09-21T02:20:00.000Z,8741,Península
20988.0,2025-09-21T04:25:00.000+02:00,2025-09-21T02:25:00Z,2025-09-21T02:25:00.000Z,8741,Península
20818.0,2025-09-21T04:30:00.000+02:00,2025-09-21T02:30:00Z,2025-09-21T02:30:00.000Z,8741,Península
20835.0,2025-09-21T04:35:00.000+02:00,2025-09-21T02:35:00Z,2025-09-21T02:35:00.000Z,8741,Península
20747.0,2025-09-21T04:40:00.000+02:00,2025-09-21T02:40:00Z,2025-09-21T02:40:00.000Z,8741,Península
20626.0,2025-09-21T04:45:00.000+02:00,2025-09-21T02:45:00Z,2025-09-21T02:45:00.000Z,8741,Península
20531.0,2025-09-21T04:50:00.000+02:00,2025-09-21T02:50:00Z,2025-09-21T02:50:00.000Z,8741,Península
20600.0,2025-09-21T04:55:00.000+02:00,2025-09-21T02:55:00Z,2025-09-21T02:55:00.000Z,8741,Península
20919.0,2025-09-21T05:00:00.000+02:00,2025-09-21T03:00:00Z,2025-09-21T03:00:00.000Z,8741,Península
20771.0,2025-09-21T05:05:00.000+02:00,2025-09-21T03:05:00Z,2025-09-21T03:05:00.000Z,8741,Península
20877.0,2025-09-21T05:10:00.000+02:00,2025-09-21T03:10:00Z,2025-09-21T03:10:00.000Z,8741,Península
20849.0,2025-09-21T05:15:00.000+02:00,2025-09-21T03:15:00Z,2025-09-21T03:15:00.000Z,8741,Península
20680.0,2025-09-21T05:20:00.000+02:00,2025-09-21T03:20:00Z,2025-09-21T03:20:00.000Z,8741,Península
20647.0,2025-09-21T05:25:00.000+02:00,2025-09-21T03:25:00Z,2025-09-21T03:25:00.000Z,8741,Península
20449.0,2025-09-21T05:30:00.000+02:00,2025-09-21T03:30:00Z,2025-09-21T03:30:00.000Z,8741,Península
20348.0,2025-09-21T05:35:00.000+02:00,2025-09-21T03:35:00Z,2025-09-21T03:35:00.000Z,8741,Península
20640.0,2025-09-21T05:40:00.000+02:00,2025-09-21T03:40:00Z,2025-09-21T03:40:00.000Z,8741,Península
20535.0,2025-09-21T05:45:00.000+02:00,2025-09-21T03:45:00Z,2025-09-21T03:45:00.000Z,8741,Península
20620.0,2025-09-21T05:50:00.000+02:00,2025-09-21T03:50:00Z,2025-09-21T03:50:00.000Z,8741,Península
20588.0,2025-09-21T05:55:00.000+02:00,2025-09-21T03:55:00Z,2025-09-21T03:55:00.000Z,8741,Península
20680.0,2025-09-21T06:00:00.000+02:00,2025-09-21T04:00:00Z,2025-09-21T04:00:00.000Z,8741,Península
20786.0,2025-09-21T06:05:00.000+02:00,2025-09-21T04:05:00Z,2025-09-21T04:05:00.000Z,8741,Península
20835.0,2025-09-21T06:10:00.000+02:00,2025-09-21T04:10:00Z,2025-09-21T04:10:00.000Z,8741,Península
20785.0,2025-09-21T06:15:00.000+02:00,2025-09-21T04:15:00Z,2025-09-21T04:15:00.000Z,8741,Península
20739.0,2025-09-21T06:20:00.000+02:00,2025-09-21T04:20:00Z,2025-09-21T04:20:00.000Z,8741,Península
20874.0,2025-09-21T06:25:00.000+02:00,2025-09-21T04:25:00Z,2025-09-21T04:25:00.000Z,8741,Península
21006.0,2025-09-21T06:30:00.000+02:00,2025-09-21T04:30:00Z,2025-09-21T04:30:00.000Z,8741,Península
21096.0,2025-09-21T06:35:00.000+02:00,2025-09-21T04:35:00Z,2025-09-21T04:35:00.000Z,8741,Península
20934.0,2025-09-21T06:40:00.000+02:00,2025-09-21T04:40:00Z,2025-09-21T04:40:00.000Z,8741,Península
20815.0,2025-09-21T06:45:00.000+02:00,2025-09-21T04:45:00Z,2025-09-21T04:45:00.000Z,8741,Península
20915.0,2025-09-21T06:50:00.000+02:00,2025-09-21T04:50:00Z,2025-09-21T04:50:00.000Z,8741,Península
20968.0,2025-09-21T06:55:00.000+02:00,2025-09-21T04:55:00Z,2025-09-21T04:55:00.000Z,8741,Península
20968.0,2025-09-21T07:00:00.000+02:00,2025-09-21T05:00:00Z,2025-09-21T05:00:00.000Z,8741,Península
21045.0,2025-09-21T07:05:00.000+02:00,2025-09-21T05:05:00Z,2025-09-21T05:05:00.000Z,8741,Península
21309.0,2025-09-21T07:10:00.000+02:00,2025-09-21T05:10:00Z,2025-09-21T05:10:00.000Z,8741,Península
21555.0,2025-09-21T07:15:00.000+02:00,2025-09-21T05:15:00Z,2025-09-21T05:15:00.000Z,8741,Península
21586.0,2025-09-21T07:20:00.000+02:00,2025-09-21T05:20:00Z,2025-09-21T05:20:00.000Z,8741,Península
21554.0,2025-09-21T07:25:00.000+02:00,2025-09-21T05:25:00Z,2025-09-21T05:25:00.000Z,8741,Península
21466.0,2025-09-21T07:30:00.000+02:00,2025-09-21T05:30:00Z,2025-09-21T05:30:00.000Z,8741,Península
21598.0,2025-09-21T07:35:00.000+02:00,2025-09-21T05:35:00Z,2025-09-21T05:35:00.000Z,8741,Península
21484.0,2025-09-21T07:40:00.000+02:00,2025-09-21T05:40:00Z,2025-09-21T05:40:00.000Z,8741,Península
21261.0,2025-09-21T07:45:00.000+02:00,2025-09-21T05:45:00Z,2025-09-21T05:45:00.000Z,8741,Península
21404.0,2025-09-21T07:50:00.000+02:00,2025-09-21T05:50:00Z,2025-09-21T05:50:00.000Z,8741,Península
21420.0,2025-09-21T07:55:00.000+02:00,2025-09-21T05:55:00Z,2025-09-21T05:55:00.000Z,8741,Península
21556.0,2025-09-21T08:00:00.000+02:00,2025-09-21T06:00:00Z,2025-09-21T06:00:00.000Z,8741,Península
21380.0,2025-09-21T08:05:00.000+02:00,2025-09-21T06:05:00Z,2025-09-21T06:05:00.000Z,8741,Península
21413.0,2025-09-21T08:10:00.000+02:00,2025-09-21T06:10:00Z,2025-09-21T06:10:00.000Z,8741,Península
21416.0,2025-09-21T08:15:00.000+02:00,2025-09-21T06:15:00Z,2025-09-21T06:15:00.000Z,8741,Península
21521.0,2025-09-21T08:20:00.000+02:00,2025-09-21T06:20:00Z,2025-09-21T06:20:00.000Z,8741,Península
21577.0,2025-09-21T08:25:00.000+02:00,2025-09-21T06:25:00Z,2025-09-21T06:25:00.000Z,8741,Península
21430.0,2025-09-21T08:30:00.000+02:00,2025-09-21T06:30:00Z,2025-09-21T06:30:00.000Z,8741,Península
21697.0,2025-09-21T08:35:00.000+02:00,2025-09-21T06:35:00Z,2025-09-21T06:35:00.000Z,8741,Península
21674.0,2025-09-21T08:40:00.000+02:00,2025-09-21T06:40:00Z,2025-09-21T06:40:00.000Z,8741,Península
21896.0,2025-09-21T08:45:00.000+02:00,2025-09-21T06:45:00Z,2025-09-21T06:45:00.000Z,8741,Península
22128.0,2025-09-21T08:50:00.000+02:00,2025-09-21T06:50:00Z,2025-09-21T06:50:00.000Z,8741,Península
22123.0,2025-09-21T08:55:00.000+02:00,2025-09-21T06:55:00Z,2025-09-21T06:55:00.000Z,8741,Península
22244.0,2025-09-21T09:00:00.000+02:00,2025-09-21T07:00:00Z,2025-09-21T07:00:00.000Z,8741,Península
22122.0,2025-09-21T09:05:00.000+02:00,2025-09-21T07:05:00Z,2025-09-21T07:05:00.000Z,8741,Península
22221.0,2025-09-21T09:10:00.000+02:00,2025-09-21T07:10:00Z,2025-09-21T07:10:00.000Z,8741,Península
22346.0,2025-09-21T09:15:00.000+02:00,2025-09-21T07:15:00Z,2025-09-21T07:15:00.000Z,8741,Península
22625.0,2025-09-21T09:20:00.000+02:00,2025-09-21T07:20:00Z,2025-09-21T07:20:00.000Z,8741,Península
22695.0,2025-09-21T09:25:00.000+02:00,2025-09-21T07:25:00Z,2025-09-21T07:25:00.000Z,8741,Península
22559.0,2025-09-21T09:30:00.000+02:00,2025-09-21T07:30:00Z,2025-09-21T07:30:00.000Z,8741,Península
22825.0,2025-09-21T09:35:00.000+02:00,2025-09-21T07:35:00Z,2025-09-21T07:35:00.000Z,8741,Península
22874.0,2025-09-21T09:40:00.000+02:00,2025-09-21T07:40:00Z,2025-09-21T07:40:00.000Z,8741,Península
23073.0,2025-09-21T09:45:00.000+02:00,2025-09-21T07:45:00Z,2025-09-21T07:45:00.000Z,8741,Península
23170.0,2025-09-21T09:50:00.000+02:00,2025-09-21T07:50:00Z,2025-09-21T07:50:00.000Z,8741,Península
23198.0,2025-09-21T09:55:00.000+02:00,2025-09-21T07:55:00Z,2025-09-21T07:55:00.000Z,8741,Península
23127.0,2025-09-21T10:00:00.000+02:00,2025-09-21T08:00:00Z,2025-09-21T08:00:00.000Z,8741,Península
23204.0,2025-09-21T10:05:00.000+02:00,2025-09-21T08:05:00Z,2025-09-21T08:05:00.000Z,8741,Península
23245.0,2025-09-21T10:10:00.000+02:00,2025-09-21T08:10:00Z,2025-09-21T08:10:00.000Z,8741,Península
23427.0,2025-09-21T10:15:00.000+02:00,2025-09-21T08:15:00Z,2025-09-21T08:15:00.000Z,8741,Península
23218.0,2025-09-21T10:20:00.000+02:00,2025-09-21T08:20:00Z,2025-09-21T08:20:00.000Z,8741,Península
23537.0,2025-09-21T10:25:00.000+02:00,2025-09-21T08:25:00Z,2025-09-21T08:25:00.000Z,8741,Península
23605.0,2025-09-21T10:30:00.000+02:00,2025-09-21T08:30:00Z,2025-09-21T08:30:00.000Z,8741,Península
23782.0,2025-09-21T10:35:00.000+02:00,2025-09-21T08:35:00Z,2025-09-21T08:35:00.000Z,8741,Península
23622.0,2025-09-21T10:40:00.000+02:00,2025-09-21T08:40:00Z,2025-09-21T08:40:00.000Z,8741,Península
23880.0,2025-09-21T10:45:00.000+02:00,2025-09-21T08:45:00Z,2025-09-21T08:45:00.000Z,8741,Península
23767.0,2025-09-21T10:50:00.000+02:00,2025-09-21T08:50:00Z,2025-09-21T08:50:00.000Z,8741,Península
23733.0,2025-09-21T10:55:00.000+02:00,2025-09-21T08:55:00Z,2025-09-21T08:55:00.000Z,8741,Península
23711.0,2025-09-21T11:00:00.000+02:00,2025-09-21T09:00:00Z,2025-09-21T09:00:00.000Z,8741,Península
23629.0,2025-09-21T11:05:00.000+02:00,2025-09-21T09:05:00Z,2025-09-21T09:05:00.000Z,8741,Península
23753.0,2025-09-21T11:10:00.000+02:00,2025-09-21T09:10:00Z,2025-09-21T09:10:00.000Z,8741,Península
23868.0,2025-09-21T11:15:00.000+02:00,2025-09-21T09:15:00Z,2025-09-21T09:15:00.000Z,8741,Península
23673.0,2025-09-21T11:20:00.000+02:00,2025-09-21T09:20:00Z,2025-09-21T09:20:00.000Z,8741,Península
23727.0,2025-09-21T11:25:00.000+02:00,2025-09-21T09:25:00Z,2025-09-21T09:25:00.000Z,8741,Península
23850.0,2025-09-21T11:30:00.000+02:00,2025-09-21T09:30:00Z,2025-09-21T09:30:00.000Z,8741,Península
23956.0,2025-09-21T11:35:00.000+02:00,2025-09-21T09:35:00Z,2025-09-21T09:35:00.000Z,8741,Península
23775.0,2025-09-21T11:40:00.000+02:00,2025-09-21T09:40:00Z,2025-09-21T09:40:00.000Z,8741,Península
23670.0,2025-09-21T11:45:00.000+02:00,2025-09-21T09:45:00Z,2025-09-21T09:45:00.000Z,8741,Península
23424.0,2025-09-21T11:50:00.000+02:00,2025-09-21T09:50:00Z,2025-09-21T09:50:00.000Z,8741,Península
23781.0,2025-09-21T11:55:00.000+02:00,2025-09-21T09:55:00Z,2025-09-21T09:55:00.000Z,8741,Península
23871.0,2025-09-21T12:00:00.000+02:00,2025-09-21T10:00:00Z,2025-09-21T10:00:00.000Z,8741,Península
23899.0,2025-09-21T12:05:00.000+02:00,2025-09-21T10:05:00Z,2025-09-21T10:05:00.000Z,8741,Península
23855.0,2025-09-21T12:10:00.000+02:00,2025-09-21T10:10:00Z,2025-09-21T10:10:00.000Z,8741,Península
24075.0,2025-09-21T12:15:00.000+02:00,2025-09-21T10:15:00Z,2025-09-21T10:15:00.000Z,8741,Península
23823.0,2025-09-21T12:20:00.000+02:00,2025-09-21T10:20:00Z,2025-09-21T10:20:00.000Z,8741,Península
23726.0,2025-09-21T12:25:00.000+02:00,2025-09-21T10:25:00Z,2025-09-21T10:25:00.000Z,8741,Península
24032.0,2025-09-21T12:30:00.000+02:00,2025-09-21T10:30:00Z,2025-09-21T10:30:00.000Z,8741,Península
24163.0,2025-09-21T12:35:00.000+02:00,2025-09-21T10:35:00Z,2025-09-21T10:35:00.000Z,8741,Península
