fecha,pred_lstm
2025-10-20 00:05:00,21859.87875020504
2025-10-20 00:10:00,21762.73311805725
2025-10-20 00:15:00,21680.190472841263
2025-10-20 00:20:00,21615.43582570553
2025-10-20 00:25:00,21568.8676520586
2025-10-20 00:30:00,21541.57687306404
2025-10-20 00:35:00,21532.84391951561
2025-10-20 00:40:00,21538.621613502502
2025-10-20 00:45:00,21555.20381462574
2025-10-20 00:50:00,21581.509972453117
2025-10-20 00:55:00,21612.799067258835
2025-10-20 01:00:00,21647.921343922615
2025-10-20 01:05:00,21685.569093108177
2025-10-20 01:10:00,21722.186749458313
2025-10-20 01:15:00,21755.679624676704
2025-10-20 01:20:00,21786.122906565666
2025-10-20 01:25:00,21812.594996094704
2025-10-20 01:30:00,21833.959500432014
2025-10-20 01:35:00,21851.542876005173
2025-10-20 01:40:00,21863.94766676426
2025-10-20 01:45:00,21871.820447921753
2025-10-20 01:50:00,21876.68631529808
2025-10-20 01:55:00,21879.140788197517
2025-10-20 02:00:00,21878.569201350212
2025-10-20 02:05:00,21876.510810613632
2025-10-20 02:10:00,21873.385431170464
2025-10-20 02:15:00,21869.248705983162
2025-10-20 02:20:00,21864.548969745636
2025-10-20 02:25:00,21859.65518116951
2025-10-20 02:30:00,21854.86350440979
2025-10-20 02:35:00,21850.388733267784
2025-10-20 02:40:00,21846.37685573101
2025-10-20 02:45:00,21842.92360162735
2025-10-20 02:50:00,21840.074442625046
2025-10-20 02:55:00,21837.833367466927
2025-10-20 03:00:00,21836.175446510315
2025-10-20 03:05:00,21835.050621032715
2025-10-20 03:10:00,21834.39028465748
2025-10-20 03:15:00,21834.123038887978
2025-10-20 03:20:00,21834.17688691616
2025-10-20 03:25:00,21834.475444316864
2025-10-20 03:30:00,21834.950703024864
2025-10-20 03:35:00,21835.54323077202
2025-10-20 03:40:00,21836.19459247589
2025-10-20 03:45:00,21836.864701271057
2025-10-20 03:50:00,21837.51865565777
2025-10-20 03:55:00,21838.128334999084
2025-10-20 04:00:00,21838.67200064659
2025-10-20 04:05:00,21839.140478491783
2025-10-20 04:10:00,21839.527187108994
2025-10-20 04:15:00,21839.83053100109
2025-10-20 04:20:00,21840.054498910904
2025-10-20 04:25:00,21840.206270575523
2025-10-20 04:30:00,21840.29442179203
2025-10-20 04:35:00,21840.329921603203
2025-10-20 04:40:00,21840.321345806122
2025-10-20 04:45:00,21840.27866625786
2025-10-20 04:50:00,21840.213250875473
2025-10-20 04:55:00,21840.13148164749
2025-10-20 05:00:00,21840.04153549671
2025-10-20 05:05:00,21839.949594974518
2025-10-20 05:10:00,21839.860247135162
2025-10-20 05:15:00,21839.777281284332
2025-10-20 05:20:00,21839.703290104866
2025-10-20 05:25:00,21839.639669656754
2025-10-20 05:30:00,21839.587417125702
2025-10-20 05:35:00,21839.54633307457
2025-10-20 05:40:00,21839.516218066216
2025-10-20 05:45:00,21839.49567604065
2025-10-20 05:50:00,21839.484108686447
2025-10-20 05:55:00,21839.479521632195
2025-10-20 06:00:00,21839.480917692184
2025-10-20 06:05:00,21839.48729968071
2025-10-20 06:10:00,21839.496074914932
2025-10-20 06:15:00,21839.50704395771
2025-10-20 06:20:00,21839.51960849762
2025-10-20 06:25:00,21839.53237247467
2025-10-20 06:30:00,21839.54473757744
2025-10-20 06:35:00,21839.555706620216
2025-10-20 06:40:00,21839.56627678871
2025-10-20 06:45:00,21839.575052022934
2025-10-20 06:50:00,21839.581832885742
