fecha,pred_lstm
2025-10-22 00:05:00,23683.983347594738
2025-10-22 00:10:00,23577.539823830128
2025-10-22 00:15:00,23484.61216855049
2025-10-22 00:20:00,23407.4866656065
2025-10-22 00:25:00,23349.735082656145
2025-10-22 00:30:00,23311.258705824614
2025-10-22 00:35:00,23288.629872083664
2025-10-22 00:40:00,23282.54574817419
2025-10-22 00:45:00,23290.41906106472
2025-10-22 00:50:00,23308.797028571367
2025-10-22 00:55:00,23336.18836608529
2025-10-22 01:00:00,23369.977596610785
2025-10-22 01:05:00,23406.273895144463
2025-10-22 01:10:00,23445.049939095974
2025-10-22 01:15:00,23484.47379285097
2025-10-22 01:20:00,23521.494140028954
2025-10-22 01:25:00,23556.83723270893
2025-10-22 01:30:00,23589.499626725912
2025-10-22 01:35:00,23617.662166386843
2025-10-22 01:40:00,23642.38426309824
2025-10-22 01:45:00,23663.265773117542
2025-10-22 01:50:00,23679.846619278193
2025-10-22 01:55:00,23692.911665022373
2025-10-22 02:00:00,23702.841223180294
2025-10-22 02:05:00,23708.719546288252
2025-10-22 02:10:00,23712.19304075837
2025-10-22 02:15:00,23713.66449445486
2025-10-22 02:20:00,23713.44459167123
2025-10-22 02:25:00,23711.85855937004
2025-10-22 02:30:00,23709.232065200806
2025-10-22 02:35:00,23705.85948804021
2025-10-22 02:40:00,23702.014494478703
2025-10-22 02:45:00,23697.931089282036
2025-10-22 02:50:00,23693.80229333043
2025-10-22 02:55:00,23689.785431861877
2025-10-22 03:00:00,23686.002575159073
2025-10-22 03:05:00,23682.537894427776
2025-10-22 03:10:00,23679.452204465866
2025-10-22 03:15:00,23676.774149924517
2025-10-22 03:20:00,23674.51562935114
2025-10-22 03:25:00,23672.669151067734
2025-10-22 03:30:00,23671.21576553583
2025-10-22 03:35:00,23670.12418398261
2025-10-22 03:40:00,23669.357829391956
2025-10-22 03:45:00,23668.87571787834
2025-10-22 03:50:00,23668.635102808475
2025-10-22 03:55:00,23668.596763044596
2025-10-22 04:00:00,23668.715307831764
2025-10-22 04:05:00,23668.958126336336
2025-10-22 04:10:00,23669.28599742055
2025-10-22 04:15:00,23669.672479867935
2025-10-22 04:20:00,23670.092013835907
2025-10-22 04:25:00,23670.5203615427
2025-10-22 04:30:00,23670.943421006203
2025-10-22 04:35:00,23671.344886809587
2025-10-22 04:40:00,23671.716826587915
2025-10-22 04:45:00,23672.050867289305
2025-10-22 04:50:00,23672.342602044344
2025-10-22 04:55:00,23672.591590166092
2025-10-22 05:00:00,23672.79827234149
2025-10-22 05:05:00,23672.961326509714
2025-10-22 05:10:00,23673.088244348764
2025-10-22 05:15:00,23673.1785851717
2025-10-22 05:20:00,23673.238518595695
2025-10-22 05:25:00,23673.27157011628
2025-10-22 05:30:00,23673.283468663692
2025-10-22 05:35:00,23673.276417672634
2025-10-22 05:40:00,23673.25614607334
2025-10-22 05:45:00,23673.223975926638
2025-10-22 05:50:00,23673.18651753664
2025-10-22 05:55:00,23673.14377090335
2025-10-22 06:00:00,23673.098820835352
2025-10-22 06:05:00,23673.053430080414
2025-10-22 06:10:00,23673.01288688183
2025-10-22 06:15:00,23672.9719029963
2025-10-22 06:20:00,23672.935766667128
2025-10-22 06:25:00,23672.903596520424
2025-10-22 06:30:00,23672.87583324313
2025-10-22 06:35:00,23672.853798896074
2025-10-22 06:40:00,23672.835730731487
2025-10-22 06:45:00,23672.82074737549
2025-10-22 06:50:00,23672.811052262783
2025-10-22 06:55:00,23672.8026792109
2025-10-22 07:00:00,23672.799153715372
2025-10-22 07:05:00,23672.796509593725
2025-10-22 07:10:00,23672.797390967607
2025-10-22 07:15:00,23672.799594402313
2025-10-22 07:20:00,23672.8026792109
2025-10-22 07:25:00,23672.804882645607
2025-10-22 07:30:00,23672.80973020196
