,forecast
2025-10-15 00:00:00,23170.805572509766
2025-10-15 00:05:00,22680.80059814453
2025-10-15 00:10:00,22543.57000732422
2025-10-15 00:15:00,22561.61019897461
2025-10-15 00:20:00,22684.76318359375
2025-10-15 00:25:00,22875.488677978516
2025-10-15 00:30:00,23113.86947631836
2025-10-15 00:35:00,23377.902801513672
2025-10-15 00:40:00,23655.49234008789
2025-10-15 00:45:00,23940.902770996094
2025-10-15 00:50:00,24227.147430419922
2025-10-15 00:55:00,24507.552490234375
2025-10-15 01:00:00,24773.98422241211
2025-10-15 01:05:00,25030.61376953125
2025-10-15 01:10:00,25272.435760498047
2025-10-15 01:15:00,25491.525024414062
2025-10-15 01:20:00,25692.9912109375
2025-10-15 01:25:00,25871.51611328125
2025-10-15 01:30:00,26020.843017578125
2025-10-15 01:35:00,26151.295501708984
2025-10-15 01:40:00,26257.763916015625
2025-10-15 01:45:00,26331.801696777344
2025-10-15 01:50:00,26388.73779296875
2025-10-15 01:55:00,26435.871704101562
2025-10-15 02:00:00,26472.78631591797
2025-10-15 02:05:00,26476.331787109375
2025-10-15 02:10:00,26443.48403930664
2025-10-15 02:15:00,26380.291229248047
2025-10-15 02:20:00,26292.697235107422
2025-10-15 02:25:00,26186.750213623047
2025-10-15 02:30:00,26068.289764404297
2025-10-15 02:35:00,25943.051208496094
2025-10-15 02:40:00,25815.83135986328
2025-10-15 02:45:00,25690.488525390625
2025-10-15 02:50:00,25570.255340576172
2025-10-15 02:55:00,25458.36444091797
2025-10-15 03:00:00,25356.380004882812
2025-10-15 03:05:00,25266.387603759766
2025-10-15 03:10:00,25189.638580322266
2025-10-15 03:15:00,25126.132934570312
2025-10-15 03:20:00,25076.496337890625
2025-10-15 03:25:00,25040.62451171875
2025-10-15 03:30:00,25017.370391845703
2025-10-15 03:35:00,25006.21258544922
2025-10-15 03:40:00,25006.62969970703
2025-10-15 03:45:00,25016.848999023438
2025-10-15 03:50:00,25035.619140625
2025-10-15 03:55:00,25061.167388916016
2025-10-15 04:00:00,25092.868072509766
2025-10-15 04:05:00,25129.157012939453
2025-10-15 04:10:00,25169.199981689453
2025-10-15 04:15:00,25211.11996459961
2025-10-15 04:20:00,25253.87417602539
2025-10-15 04:25:00,25296.732666015625
2025-10-15 04:30:00,25338.23553466797
2025-10-15 04:35:00,25377.96566772461
2025-10-15 04:40:00,25414.776000976562
2025-10-15 04:45:00,25448.666534423828
2025-10-15 04:50:00,25478.490203857422
2025-10-15 04:55:00,25504.038452148438
2025-10-15 05:00:00,25525.10272216797
2025-10-15 05:05:00,25541.683013916016
2025-10-15 05:10:00,25553.779327392578
2025-10-15 05:15:00,25560.87026977539
2025-10-15 05:20:00,25563.998626708984
2025-10-15 05:25:00,25562.643005371094
2025-10-15 05:30:00,25557.429077148438
2025-10-15 05:35:00,25549.50390625
2025-10-15 05:40:00,25538.658935546875
2025-10-15 05:45:00,25525.415557861328
2025-10-15 05:50:00,25510.190887451172
2025-10-15 05:55:00,25493.714874267578
2025-10-15 06:00:00,25476.821746826172
2025-10-15 06:05:00,25459.615783691406
2025-10-15 06:10:00,25443.139770507812
2025-10-15 06:15:00,25426.872314453125
2025-10-15 06:20:00,25411.543365478516
2025-10-15 06:25:00,25397.570037841797
2025-10-15 06:30:00,25384.95233154297
2025-10-15 06:35:00,25374.31591796875
2025-10-15 06:40:00,25365.452239990234
2025-10-15 06:45:00,25358.361297607422
2025-10-15 06:50:00,25353.25164794922
2025-10-15 06:55:00,25350.227569580078
2025-10-15 07:00:00,25348.559112548828
2025-10-15 07:05:00,25348.559112548828
2025-10-15 07:10:00,25350.227569580078
2025-10-15 07:15:00,25352.730255126953
2025-10-15 07:20:00,25356.692840576172
2025-10-15 07:25:00,25361.489654541016
2025-10-15 07:30:00,25367.32925415039
2025-10-15 07:35:00,25373.168853759766
2025-10-15 07:40:00,25379.3212890625
2025-10-15 07:45:00,25385.786560058594
2025-10-15 07:50:00,25391.938995361328
2025-10-15 07:55:00,25398.29998779297
2025-10-15 08:00:00,25404.139587402344
2025-10-15 08:05:00,25409.562072753906
2025-10-15 08:10:00,25414.67172241211
2025-10-15 08:15:00,25418.842864990234
2025-10-15 08:20:00,25422.701171875
2025-10-15 08:25:00,25425.72525024414
2025-10-15 08:30:00,25428.01937866211
2025-10-15 08:35:00,25429.375
2025-10-15 08:40:00,25430.626342773438
2025-10-15 08:45:00,25431.252014160156
2025-10-15 08:50:00,25430.939178466797
2025-10-15 08:55:00,25430.00067138672
2025-10-15 09:00:00,25428.436492919922
2025-10-15 09:05:00,25426.66375732422
2025-10-15 09:10:00,25424.68246459961
2025-10-15 09:15:00,25422.596893310547
2025-10-15 09:20:00,25420.094207763672
2025-10-15 09:25:00,25417.487243652344
2025-10-15 09:30:00,25415.193115234375
2025-10-15 09:35:00,25412.6904296875
2025-10-15 09:40:00,25410.500579833984
2025-10-15 09:45:00,25408.31072998047
2025-10-15 09:50:00,25406.32943725586
2025-10-15 09:55:00,25404.243865966797
2025-10-15 10:00:00,25402.6796875
2025-10-15 10:05:00,25401.532623291016
2025-10-15 10:10:00,25400.802673339844
2025-10-15 10:15:00,25400.177001953125
2025-10-15 10:20:00,25399.65560913086
2025-10-15 10:25:00,25399.3427734375
2025-10-15 10:30:00,25399.447052001953
2025-10-15 10:35:00,25399.864166259766
2025-10-15 10:40:00,25399.96844482422
2025-10-15 10:45:00,25400.489837646484
2025-10-15 10:50:00,25400.906951904297
2025-10-15 10:55:00,25401.741180419922
2025-10-15 11:00:00,25402.6796875
2025-10-15 11:05:00,25403.513916015625
2025-10-15 11:10:00,25404.66098022461
2025-10-15 11:15:00,25405.70376586914
2025-10-15 11:20:00,25406.433715820312
2025-10-15 11:25:00,25407.37222290039
2025-10-15 11:30:00,25408.415008544922
2025-10-15 11:35:00,25409.04067993164
2025-10-15 11:40:00,25409.874908447266
2025-10-15 11:45:00,25410.813415527344
2025-10-15 11:50:00,25411.02197265625
2025-10-15 11:55:00,25411.126251220703
2025-10-15 12:00:00,25411.439086914062
2025-10-15 12:05:00,25411.439086914062
2025-10-15 12:10:00,25411.751922607422
2025-10-15 12:15:00,25411.751922607422
2025-10-15 12:20:00,25411.439086914062
2025-10-15 12:25:00,25411.230529785156
2025-10-15 12:30:00,25411.126251220703
2025-10-15 12:35:00,25410.70913696289
2025-10-15 12:40:00,25410.39630126953
2025-10-15 12:45:00,25410.083465576172
2025-10-15 12:50:00,25409.874908447266
2025-10-15 12:55:00,25409.249237060547
2025-10-15 13:00:00,25409.04067993164
2025-10-15 13:05:00,25408.72784423828
2025-10-15 13:10:00,25408.31072998047
2025-10-15 13:15:00,25407.99789428711
2025-10-15 13:20:00,25407.580780029297
2025-10-15 13:25:00,25407.05938720703
2025-10-15 13:30:00,25406.955108642578
2025-10-15 13:35:00,25406.746551513672
2025-10-15 13:40:00,25406.64227294922
2025-10-15 13:45:00,25406.746551513672
2025-10-15 13:50:00,25406.850830078125
2025-10-15 13:55:00,25406.850830078125
2025-10-15 14:00:00,25406.955108642578
2025-10-15 14:05:00,25407.05938720703
2025-10-15 14:10:00,25406.955108642578
2025-10-15 14:15:00,25406.850830078125
2025-10-15 14:20:00,25406.850830078125
2025-10-15 14:25:00,25407.163665771484
2025-10-15 14:30:00,25407.37222290039
2025-10-15 14:35:00,25407.68505859375
2025-10-15 14:40:00,25407.789337158203
2025-10-15 14:45:00,25407.99789428711
2025-10-15 14:50:00,25407.99789428711
2025-10-15 14:55:00,25407.893615722656
2025-10-15 15:00:00,25407.99789428711
2025-10-15 15:05:00,25407.99789428711
2025-10-15 15:10:00,25408.102172851562
2025-10-15 15:15:00,25408.206451416016
2025-10-15 15:20:00,25408.206451416016
2025-10-15 15:25:00,25408.31072998047
2025-10-15 15:30:00,25408.206451416016
2025-10-15 15:35:00,25408.206451416016
2025-10-15 15:40:00,25408.31072998047
2025-10-15 15:45:00,25408.415008544922
2025-10-15 15:50:00,25408.31072998047
2025-10-15 15:55:00,25408.31072998047
2025-10-15 16:00:00,25408.31072998047
2025-10-15 16:05:00,25408.31072998047
2025-10-15 16:10:00,25408.31072998047
2025-10-15 16:15:00,25408.206451416016
2025-10-15 16:20:00,25408.206451416016
2025-10-15 16:25:00,25408.102172851562
2025-10-15 16:30:00,25407.99789428711
2025-10-15 16:35:00,25407.893615722656
2025-10-15 16:40:00,25407.789337158203
2025-10-15 16:45:00,25407.789337158203
2025-10-15 16:50:00,25407.99789428711
2025-10-15 16:55:00,25407.99789428711
2025-10-15 17:00:00,25408.102172851562
2025-10-15 17:05:00,25408.206451416016
2025-10-15 17:10:00,25407.99789428711
2025-10-15 17:15:00,25407.99789428711
2025-10-15 17:20:00,25407.99789428711
2025-10-15 17:25:00,25407.99789428711
2025-10-15 17:30:00,25408.102172851562
2025-10-15 17:35:00,25408.102172851562
2025-10-15 17:40:00,25407.99789428711
2025-10-15 17:45:00,25408.102172851562
2025-10-15 17:50:00,25408.31072998047
