,forecast
2025-10-22 12:00:00,23602.257954359055
2025-10-22 12:05:00,23602.257072985172
2025-10-22 12:10:00,23602.25619161129
2025-10-22 12:15:00,23602.25575092435
2025-10-22 12:20:00,23602.25575092435
2025-10-22 12:25:00,23602.254428863525
2025-10-22 12:30:00,23602.254428863525
2025-10-22 12:35:00,23602.254428863525
2025-10-22 12:40:00,23602.253988176584
2025-10-22 12:45:00,23602.253106802702
2025-10-22 12:50:00,23602.253106802702
2025-10-22 12:55:00,23602.25266611576
2025-10-22 13:00:00,23602.25178474188
2025-10-22 13:05:00,23602.25178474188
2025-10-22 13:10:00,23602.25178474188
2025-10-22 13:15:00,23602.25178474188
2025-10-22 13:20:00,23602.250903367996
2025-10-22 13:25:00,23602.250462681055
2025-10-22 13:30:00,23602.250462681055
2025-10-22 13:35:00,23602.250021994114
2025-10-22 13:40:00,23602.249581307173
2025-10-22 13:45:00,23602.249581307173
2025-10-22 13:50:00,23602.249581307173
2025-10-22 13:55:00,23602.24914062023
2025-10-22 14:00:00,23602.24914062023
2025-10-22 14:05:00,23602.24914062023
2025-10-22 14:10:00,23602.24914062023
2025-10-22 14:15:00,23602.24914062023
2025-10-22 14:20:00,23602.24825924635
2025-10-22 14:25:00,23602.24825924635
2025-10-22 14:30:00,23602.24869993329
2025-10-22 14:35:00,23602.24825924635
2025-10-22 14:40:00,23602.24825924635
2025-10-22 14:45:00,23602.24825924635
2025-10-22 14:50:00,23602.24825924635
2025-10-22 14:55:00,23602.24825924635
2025-10-22 15:00:00,23602.24825924635
2025-10-22 15:05:00,23602.24825924635
2025-10-22 15:10:00,23602.24825924635
2025-10-22 15:15:00,23602.24825924635
2025-10-22 15:20:00,23602.24825924635
2025-10-22 15:25:00,23602.24781855941
2025-10-22 15:30:00,23602.24825924635
2025-10-22 15:35:00,23602.24781855941
2025-10-22 15:40:00,23602.24781855941
2025-10-22 15:45:00,23602.24825924635
2025-10-22 15:50:00,23602.24781855941
2025-10-22 15:55:00,23602.24781855941
2025-10-22 16:00:00,23602.24781855941
2025-10-22 16:05:00,23602.24781855941
2025-10-22 16:10:00,23602.24781855941
